path,energi0,homogenitas0,entropy0,contras0,correlation0,energi45,homogenitas45,entropy45,contras45,correlation45,energi90,homogenitas90,entropy90,contras90,correlation90,energi135,homogenitas135,entropy135,contras135,correlation135
Whole\116W.png,0.00259114843180806,0.3717863285913775,7.369048894399986,715816960.9999751,0.9725660601450958,0.0019976002503939534,0.3146925681726221,7.637795212583639,715816960.999947,0.9500070530458542,0.002079499825503035,0.3311005629602729,7.5560457222854,715816960.9999739,0.9629897715169905,0.0019720990523887684,0.31330906723123564,7.649832307963186,715816960.9999454,0.9438442850522671
Whole\117W.png,0.002037557786052792,0.37351622485392727,7.255365391305557,715816960.9999868,0.9528678706270934,0.0014665149300537124,0.3100918016786537,7.600394329771953,715816960.9999717,0.8943676901066033,0.0015621181755060356,0.32842698713848845,7.499059485910468,715816960.9999856,0.9214473232957655,0.0014585424421637888,0.3079905110753559,7.600151489511082,715816960.9999695,0.890077415861885
Whole\118W.png,0.0012661379692879193,0.342734502087079,7.911266824859746,715816960.999971,0.9795375183227361,0.0008973142752534413,0.2811201688254233,8.216078685066622,715816960.9999279,0.961002398332927,0.0009322704802639064,0.2967156218912041,8.124984687630977,715816960.9999703,0.9726965671738133,0.0008622395569547054,0.2745902202690257,8.222193698380158,715816960.9999288,0.9602632079341699
Whole\119W.png,0.002065250468391063,0.3649646877498031,7.512666672948082,715816960.9999788,0.9674417443457534,0.0016455441801699379,0.31136173269695516,7.775619391618584,715816960.9999515,0.9392099913084722,0.0017418897752836668,0.32694735964023547,7.686378901831884,715816960.9999775,0.9564071676815363,0.00163950523201418,0.30965421454333925,7.789416034321433,715816960.9999518,0.9341274836301328
Whole\11W.png,0.0017282421039453528,0.3477755951614095,7.630023855275728,715816960.9999757,0.9619616322547939,0.0013023543314119137,0.29108161906418334,7.918743836427926,715816960.9999485,0.9279990682342099,0.0013975741452461662,0.3087419735589931,7.8062276245938165,715816960.999973,0.9510888995183776,0.0013194851859352707,0.2951987016301834,7.895812516140152,715816960.9999509,0.9301634144506619
Whole\120W.png,0.002840024967158986,0.38632569648657,7.018483928047921,715816960.9999884,0.9232534746170814,0.0022011658506552846,0.33167988087666184,7.302617543540475,715816960.9999757,0.8444274117722368,0.002364878631124088,0.35157140440776563,7.190630123440269,715816960.9999874,0.8881447278731798,0.0022185408001550023,0.3341330297012725,7.299300097091674,715816960.9999762,0.8460915271871249
Whole\121W.png,0.0027885316390747093,0.38455191373917386,7.093852127357667,715816960.9999846,0.9701849026279366,0.0021236262944974047,0.32573323644533464,7.412138453357875,715816960.9999678,0.9233419372182134,0.0022145517923844644,0.3473059641898381,7.310292711443378,715816960.9999839,0.9456960051700057,0.00209231294524413,0.3214215382540496,7.429611056054684,715816960.9999676,0.929032215053159
Whole\122W.png,0.0015676468730868693,0.3414711648025592,7.495429248268683,715816960.9999856,0.9255709913366611,0.0011739853599365968,0.2889622977149217,7.792044843486156,715816960.9999669,0.8464469907752497,0.0012595932174287905,0.3089498237317989,7.6814475480169895,715816960.9999843,0.8900394254702446,0.0011751712386801041,0.2884440538919479,7.7864368773661035,715816960.9999673,0.8517436372867974
Whole\123W.png,0.0029422150519102745,0.386080985397323,7.0531625254218895,651031250.9999877,0.9590272862095852,0.0022104222396807697,0.32705349594595734,7.345056953777026,651031250.9999757,0.9104903358047685,0.002344311573388433,0.34835540397381404,7.241610126194306,651031250.9999869,0.9351857847205345,0.00222210612441629,0.3279625710222112,7.346983182731179,651031250.9999753,0.9086387659335142
Whole\124W.png,0.001797854120610755,0.35608476139128364,7.512469031767128,715816960.9999797,0.959457183115786,0.001431198038786254,0.3074193934512025,7.777731209077514,715816960.9999628,0.9222967325962271,0.0015115671100484607,0.3245366700652389,7.662457020244795,715816960.99998,0.9416280892008254,0.001420755771017231,0.3073028712265033,7.770250836218817,715816960.9999639,0.9138430509031352
